ts-morph,templates
10.926ms,1.145ms
5.951ms,1.647ms
7.433ms,1.702ms
4.189ms,1.455ms
5.053ms,0.927ms
4.771ms,1.115ms
4.386ms,1.429ms
4.907ms,1.520ms
4.539ms,1.259ms
10.275ms,1.334ms
4.511ms,1.736ms
4.917ms,4.055ms
4.851ms,1.396ms
4.272ms,1.629ms
4.639ms,1.916ms
4.295ms,1.297ms
4.541ms,1.242ms
5.580ms,2.156ms
8.747ms,1.205ms
4.396ms,1.657ms
4.173ms,1.417ms
5.263ms,1.424ms
4.929ms,3.044ms
5.685ms,0.670ms
8.539ms,0.778ms
